,player_id,player_url,Player,From,To,Pos,Ht,Wt,Birth Date,College
67,aminual01,http://www.basketball-reference.com/players/a/aminual01.html,Al-Farouq Aminu,2011,2017,F,6-9,220,"September 21, 1990",Wake Forest University
68,amundlo01,http://www.basketball-reference.com/players/a/amundlo01.html,Lou Amundson,2007,2016,F,6-9,220,"December 7, 1982","University of Nevada, Las Vegas"
70,anderch01,http://www.basketball-reference.com/players/a/anderch01.html,Chris Andersen,2002,2017,F-C,6-10,245,"July 7, 1978",Blinn College
71,anderda03,http://www.basketball-reference.com/players/a/anderda03.html,David Andersen,2010,2011,C,6-11,245,"June 23, 1980",
72,anderal01,http://www.basketball-reference.com/players/a/anderal01.html,Alan Anderson,2006,2017,G-F,6-6,220,"October 16, 1982",Michigan State University
74,anderan02,http://www.basketball-reference.com/players/a/anderan02.html,Antonio Anderson,2010,2010,G,6-6,215,"June 5, 1985",University of Memphis
78,anderde01,http://www.basketball-reference.com/players/a/anderde01.html,Derek Anderson,1998,2008,G,6-5,194,"July 18, 1974",University of Kentucky
83,anderja01,http://www.basketball-reference.com/players/a/anderja01.html,James Anderson,2011,2016,G-F,6-6,213,"March 25, 1989",Oklahoma State University
88,anderky01,http://www.basketball-reference.com/players/a/anderky01.html,Kyle Anderson,2015,2017,F-G,6-9,230,"September 20, 1993","University of California, Los Angeles"
93,anderry01,http://www.basketball-reference.com/players/a/anderry01.html,Ryan Anderson,2009,2017,F,6-10,240,"May 6, 1988",University of California
94,andersh01,http://www.basketball-reference.com/players/a/andersh01.html,Shandon Anderson,1997,2006,F-G,6-6,208,"December 31, 1973",University of Georgia
97,andrima01,http://www.basketball-reference.com/players/a/andrima01.html,Martynas Andriuskevicius,2006,2006,C,7-2,240,"March 12, 1986",
101,antetgi01,http://www.basketball-reference.com/players/a/antetgi01.html,Giannis Antetokounmpo,2014,2017,F-G,6-11,222,"December 6, 1994",
103,anthoca01,http://www.basketball-reference.com/players/a/anthoca01.html,Carmelo Anthony,2004,2017,F,6-8,240,"May 29, 1984",Syracuse University
105,anthojo01,http://www.basketball-reference.com/players/a/anthojo01.html,Joel Anthony,2008,2017,C,6-9,245,"August 9, 1982","University of Nevada, Las Vegas"
106,anticpe01,http://www.basketball-reference.com/players/a/anticpe01.html,Pero Antic,2014,2015,C-F,6-11,260,"July 29, 1982",
108,araujra01,http://www.basketball-reference.com/players/a/araujra01.html,Rafael Araujo,2005,2007,C,6-11,280,"August 12, 1980",Brigham Young University
113,arenagi01,http://www.basketball-reference.com/players/a/arenagi01.html,Gilbert Arenas,2002,2012,G,6-3,191,"January 6, 1982",University of Arizona
114,arizatr01,http://www.basketball-reference.com/players/a/arizatr01.html,Trevor Ariza,2005,2017,F,6-8,215,"June 30, 1985","University of California, Los Angeles"
121,armstda01,http://www.basketball-reference.com/players/a/armstda01.html,Darrell Armstrong,1995,2008,G,6-0,170,"June 22, 1968",Fayetteville State University
122,armsthi01,http://www.basketball-reference.com/players/a/armsthi01.html,Hilton Armstrong,2007,2014,F-C,6-11,235,"November 11, 1984",University of Connecticut
127,arroyca01,http://www.basketball-reference.com/players/a/arroyca01.html,Carlos Arroyo,2002,2011,G,6-2,202,"July 30, 1979",Florida International University
128,arthuda01,http://www.basketball-reference.com/players/a/arthuda01.html,Darrell Arthur,2009,2017,F,6-9,235,"March 25, 1988",University of Kansas
130,asikom01,http://www.basketball-reference.com/players/a/asikom01.html,Omer Asik,2011,2017,C,7-0,255,"July 4, 1986",
135,atkinch01,http://www.basketball-reference.com/players/a/atkinch01.html,Chucky Atkins,2000,2010,G,5-11,160,"August 14, 1974",University of South Florida
138,augmost01,http://www.basketball-reference.com/players/a/augmost01.html,Stacey Augmon,1992,2006,F-G,6-8,205,"August 1, 1968","University of Nevada, Las Vegas"
139,augusdj01,http://www.basketball-reference.com/players/a/augusdj01.html,D.J. Augustin,2009,2017,G,6-0,183,"November 10, 1987",University of Texas at Austin
140,augusja01,http://www.basketball-reference.com/players/a/augusja01.html,James Augustine,2007,2008,F,6-10,235,"February 27, 1984",University of Illinois at Urbana-Champaign
148,ayongu01,http://www.basketball-reference.com/players/a/ayongu01.html,Gustavo Ayon,2012,2014,C,6-10,250,"April 1, 1985",
149,pendeje02,http://www.basketball-reference.com/players/p/pendeje02.html,Jeff Ayres,2010,2016,F,6-9,240,"April 29, 1987",Arizona State University
150,azubuke01,http://www.basketball-reference.com/players/a/azubuke01.html,Kelenna Azubuike,2007,2012,G,6-5,220,"December 16, 1983",University of Kentucky
151,babbch01,http://www.basketball-reference.com/players/b/babbch01.html,Chris Babb,2014,2014,G,6-5,225,"February 14, 1990",Iowa State University
152,babbilu01,http://www.basketball-reference.com/players/b/babbilu01.html,Luke Babbitt,2011,2017,F,6-9,225,"June 20, 1989","University of Nevada, Reno"
164,bairsca01,http://www.basketball-reference.com/players/b/bairsca01.html,Cameron Bairstow,2015,2016,F-C,6-9,250,"December 7, 1990",University of New Mexico
170,bakervi01,http://www.basketball-reference.com/players/b/bakervi01.html,Vin Baker,1994,2006,F,6-11,232,"November 23, 1971",University of Hartford
172,balkmre01,http://www.basketball-reference.com/players/b/balkmre01.html,Renaldo Balkman,2007,2012,F,6-8,208,"July 14, 1984",University of South Carolina
177,banksma01,http://www.basketball-reference.com/players/b/banksma01.html,Marcus Banks,2004,2011,G,6-2,200,"November 19, 1981","University of Nevada, Las Vegas"
182,barbole01,http://www.basketball-reference.com/players/b/barbole01.html,Leandro Barbosa,2004,2017,G,6-3,194,"November 28, 1982",
184,bareajo01,http://www.basketball-reference.com/players/b/bareajo01.html,J.J. Barea,2007,2017,G,6-0,185,"June 26, 1984",Northeastern University
185,bargnan01,http://www.basketball-reference.com/players/b/bargnan01.html,Andrea Bargnani,2007,2016,F-C,7-0,245,"October 26, 1985",
191,barneha02,http://www.basketball-reference.com/players/b/barneha02.html,Harrison Barnes,2013,2017,F,6-8,210,"May 30, 1992",University of North Carolina
195,barnema02,http://www.basketball-reference.com/players/b/barnema02.html,Matt Barnes,2004,2017,F,6-7,226,"March 9, 1980","University of California, Los Angeles"
205,barrean01,http://www.basketball-reference.com/players/b/barrean01.html,Andre Barrett,2005,2008,G,5-10,172,"February 21, 1982",Seton Hall University
208,barroea01,http://www.basketball-reference.com/players/b/barroea01.html,Earl Barron,2006,2015,C,7-0,250,"August 14, 1981",University of Memphis
210,barrybr01,http://www.basketball-reference.com/players/b/barrybr01.html,Brent Barry,1996,2009,G,6-6,185,"December 31, 1971",Oregon State University
212,barryjo01,http://www.basketball-reference.com/players/b/barryjo01.html,Jon Barry,1993,2006,G,6-4,195,"July 25, 1969",Georgia Institute of Technology
216,bartowi01,http://www.basketball-reference.com/players/b/bartowi01.html,Will Barton,2013,2017,G,6-6,175,"January 6, 1991",University of Memphis
217,basdeed01,http://www.basketball-reference.com/players/b/basdeed01.html,Eddie Basden,2006,2006,G,6-5,215,"February 15, 1983",University of North Carolina at Charlotte
219,bassbr01,http://www.basketball-reference.com/players/b/bassbr01.html,Brandon Bass,2006,2017,F,6-8,250,"April 30, 1985",Louisiana State University
221,bastoma01,http://www.basketball-reference.com/players/b/bastoma01.html,Maceo Baston,2003,2009,F,6-9,215,"May 29, 1975",University of Michigan
224,batises01,http://www.basketball-reference.com/players/b/batises01.html,Esteban Batista,2006,2007,F-C,6-10,270,"September 2, 1983",
226,battito01,http://www.basketball-reference.com/players/b/battito01.html,Tony Battie,1998,2012,C-F,6-11,230,"February 11, 1976",Texas Tech University
227,battish01,http://www.basketball-reference.com/players/b/battish01.html,Shane Battier,2002,2014,F,6-8,220,"September 9, 1978",Duke University
232,batumni01,http://www.basketball-reference.com/players/b/batumni01.html,Nicolas Batum,2009,2017,F-G,6-8,200,"December 14, 1988",
235,baxtelo01,http://www.basketball-reference.com/players/b/baxtelo01.html,Lonny Baxter,2003,2006,F,6-8,260,"January 27, 1979",University of Maryland
236,bayleje01,http://www.basketball-reference.com/players/b/bayleje01.html,Jerryd Bayless,2009,2017,G,6-3,200,"August 20, 1988",University of Arizona
239,baynear01,http://www.basketball-reference.com/players/b/baynear01.html,Aron Baynes,2013,2017,C,6-10,260,"December 9, 1986",Washington State University
241,bazemke01,http://www.basketball-reference.com/players/b/bazemke01.html,Kent Bazemore,2013,2017,G-F,6-5,201,"July 1, 1989",Old Dominion University
243,bealbr01,http://www.basketball-reference.com/players/b/bealbr01.html,Bradley Beal,2013,2017,G,6-5,207,"June 28, 1993",University of Florida
251,beaslmi01,http://www.basketball-reference.com/players/b/beaslmi01.html,Michael Beasley,2009,2017,F,6-9,235,"January 9, 1989",Kansas State University
253,beaubro01,http://www.basketball-reference.com/players/b/beaubro01.html,Rodrigue Beaubois,2010,2013,G,6-0,170,"February 24, 1988",
264,belinma01,http://www.basketball-reference.com/players/b/belinma01.html,Marco Belinelli,2008,2017,G-F,6-5,210,"March 25, 1986",
265,bellch01,http://www.basketball-reference.com/players/b/bellch01.html,Charlie Bell,2002,2011,G,6-3,200,"March 12, 1979",Michigan State University
267,bellra01,http://www.basketball-reference.com/players/b/bellra01.html,Raja Bell,2001,2012,G,6-5,204,"September 19, 1976",Florida International University
275,bendejo01,http://www.basketball-reference.com/players/b/bendejo01.html,Jonathan Bender,2000,2010,F,6-11,202,"January 30, 1981",
276,benimje01,http://www.basketball-reference.com/players/b/benimje01.html,Jerrelle Benimon,2015,2015,F,6-8,245,"August 1, 1991",Towson University
279,bennean01,http://www.basketball-reference.com/players/b/bennean01.html,Anthony Bennett,2014,2017,F,6-8,245,"March 14, 1993","University of Nevada, Las Vegas"
287,bensoke02,http://www.basketball-reference.com/players/b/bensoke02.html,Keith Benson,2012,2012,C,6-11,240,"August 13, 1988",Oakland University
297,beverpa01,http://www.basketball-reference.com/players/b/beverpa01.html,Patrick Beverley,2013,2017,G,6-1,185,"July 12, 1988",University of Arkansas
298,bhullsi01,http://www.basketball-reference.com/players/b/bhullsi01.html,Sim Bhullar,2015,2015,C,7-5,360,"December 2, 1992",New Mexico State University
303,bibbymi01,http://www.basketball-reference.com/players/b/bibbymi01.html,Mike Bibby,1999,2012,G,6-1,190,"May 13, 1978",University of Arizona
305,biedran01,http://www.basketball-reference.com/players/b/biedran01.html,Andris Biedrins,2005,2014,C,6-11,240,"April 2, 1986",
309,billuch01,http://www.basketball-reference.com/players/b/billuch01.html,Chauncey Billups,1998,2014,G,6-3,202,"September 25, 1976",University of Colorado
316,biyombi01,http://www.basketball-reference.com/players/b/biyombi01.html,Bismack Biyombo,2012,2017,C-F,6-9,255,"August 28, 1992",
321,blackta01,http://www.basketball-reference.com/players/b/blackta01.html,Tarik Black,2015,2017,C-F,6-9,250,"November 22, 1991",University of Kansas
328,blairde01,http://www.basketball-reference.com/players/b/blairde01.html,DeJuan Blair,2010,2016,F-C,6-7,270,"April 22, 1989",University of Pittsburgh
329,blakest01,http://www.basketball-reference.com/players/b/blakest01.html,Steve Blake,2004,2016,G,6-3,172,"February 26, 1980",University of Maryland
330,blalowi01,http://www.basketball-reference.com/players/b/blalowi01.html,Will Blalock,2007,2007,G,6-0,205,"September 8, 1983",Iowa State University
334,blatcan01,http://www.basketball-reference.com/players/b/blatcan01.html,Andray Blatche,2006,2014,F,6-11,235,"August 22, 1986",
336,bledser01,http://www.basketball-reference.com/players/b/bledser01.html,Eric Bledsoe,2011,2017,G,6-1,190,"December 9, 1989",University of Kentucky
341,blounma01,http://www.basketball-reference.com/players/b/blounma01.html,Mark Blount,2001,2009,C,7-0,230,"November 30, 1975",University of Pittsburgh
342,blueva01,http://www.basketball-reference.com/players/b/blueva01.html,Vander Blue,2014,2015,G,6-4,200,"July 17, 1992",Marquette University
348,boganke01,http://www.basketball-reference.com/players/b/boganke01.html,Keith Bogans,2004,2014,G-F,6-5,215,"May 12, 1980",University of Kentucky
349,bogdabo02,http://www.basketball-reference.com/players/b/bogdabo02.html,Bojan Bogdanovic,2015,2017,G-F,6-8,216,"April 18, 1989",
351,bogutan01,http://www.basketball-reference.com/players/b/bogutan01.html,Andrew Bogut,2006,2017,C,7-0,260,"November 28, 1984",University of Utah
363,bonnema01,http://www.basketball-reference.com/players/b/bonnema01.html,Matt Bonner,2005,2016,F,6-10,235,"April 5, 1980",University of Florida
367,booketr01,http://www.basketball-reference.com/players/b/booketr01.html,Trevor Booker,2011,2017,F,6-8,228,"November 25, 1987",Clemson University
368,boonejo01,http://www.basketball-reference.com/players/b/boonejo01.html,Josh Boone,2007,2010,F-C,6-10,237,"November 21, 1984",University of Connecticut
370,boothca01,http://www.basketball-reference.com/players/b/boothca01.html,Calvin Booth,2000,2009,C,6-11,230,"May 7, 1976",Pennsylvania State University
373,boozeca01,http://www.basketball-reference.com/players/b/boozeca01.html,Carlos Boozer,2003,2015,F-C,6-9,258,"November 20, 1981",Duke University
379,boshch01,http://www.basketball-reference.com/players/b/boshch01.html,Chris Bosh,2004,2016,F-C,6-11,235,"March 24, 1984",Georgia Institute of Technology
386,bowenbr01,http://www.basketball-reference.com/players/b/bowenbr01.html,Bruce Bowen,1997,2009,F,6-7,185,"June 14, 1971","California State University, Fullerton"
387,bowenry01,http://www.basketball-reference.com/players/b/bowenry01.html,Ryan Bowen,2000,2010,F,6-7,215,"November 20, 1975",University of Iowa
398,boykiea01,http://www.basketball-reference.com/players/b/boykiea01.html,Earl Boykins,1999,2012,G,5-5,135,"June 2, 1976",Eastern Michigan University
401,bozemce01,http://www.basketball-reference.com/players/b/bozemce01.html,Cedric Bozeman,2007,2007,G,6-6,207,"March 7, 1983","University of California, Los Angeles"
403,brackcr01,http://www.basketball-reference.com/players/b/brackcr01.html,Craig Brackins,2011,2012,F,6-10,230,"October 9, 1987",Iowa State University
407,bradlav01,http://www.basketball-reference.com/players/b/bradlav01.html,Avery Bradley,2011,2017,G,6-2,180,"November 26, 1990",University of Texas at Austin
414,bradlmi01,http://www.basketball-reference.com/players/b/bradlmi01.html,Michael Bradley,2002,2006,F-C,6-10,245,"April 18, 1979",Villanova University
421,brandel01,http://www.basketball-reference.com/players/b/brandel01.html,Elton Brand,2000,2016,F,6-8,275,"March 11, 1979",Duke University
434,breweco01,http://www.basketball-reference.com/players/b/breweco01.html,Corey Brewer,2008,2017,F-G,6-9,186,"March 5, 1986",University of Florida
438,brewero02,http://www.basketball-reference.com/players/b/brewero02.html,Ronnie Brewer,2007,2014,G-F,6-7,220,"March 20, 1985",University of Arkansas
439,brezepr01,http://www.basketball-reference.com/players/b/brezepr01.html,Primoz Brezec,2002,2010,C,7-2,252,"October 2, 1979",
452,brockjo01,http://www.basketball-reference.com/players/b/brockjo01.html,Jon Brockman,2010,2012,F,6-7,255,"March 20, 1987",University of Washington
458,brookaa01,http://www.basketball-reference.com/players/b/brookaa01.html,Aaron Brooks,2008,2017,G,6-0,161,"January 14, 1985",University of Oregon
460,brookma01,http://www.basketball-reference.com/players/b/brookma01.html,MarShon Brooks,2012,2014,G-F,6-5,200,"January 26, 1989",Providence College
463,brownan01,http://www.basketball-reference.com/players/b/brownan01.html,Andre Brown,2007,2009,F,6-9,245,"May 12, 1981",DePaul University
466,brownbo02,http://www.basketball-reference.com/players/b/brownbo02.html,Bobby Brown,2009,2017,G,6-2,175,"September 24, 1984","California State University, Fullerton"
471,brownde03,http://www.basketball-reference.com/players/b/brownde03.html,Dee Brown,2007,2009,G,6-0,185,"August 17, 1984",University of Illinois at Urbana-Champaign
472,brownde04,http://www.basketball-reference.com/players/b/brownde04.html,Derrick Brown,2010,2012,F,6-7,225,"September 8, 1987",Xavier University
473,brownde02,http://www.basketball-reference.com/players/b/brownde02.html,Devin Brown,2003,2010,G,6-5,220,"December 30, 1978",University of Texas at San Antonio
479,brownja01,http://www.basketball-reference.com/players/b/brownja01.html,Jabari Brown,2015,2015,G,6-4,215,"December 18, 1992",University of Missouri
483,brownkw01,http://www.basketball-reference.com/players/b/brownkw01.html,Kwame Brown,2002,2013,F,6-11,270,"March 10, 1982",
487,brownlo01,http://www.basketball-reference.com/players/b/brownlo01.html,Lorenzo Brown,2014,2016,G,6-5,189,"August 26, 1990",North Carolina State University
489,brownma02,http://www.basketball-reference.com/players/b/brownma02.html,Markel Brown,2015,2016,G,6-3,190,"January 29, 1992",Oklahoma State University
492,brownpj01,http://www.basketball-reference.com/players/b/brownpj01.html,P.J. Brown,1994,2008,F-C,6-11,225,"October 14, 1969",Louisiana Tech University
498,brownsh01,http://www.basketball-reference.com/players/b/brownsh01.html,Shannon Brown,2007,2015,G,6-4,205,"November 29, 1985",Michigan State University
506,brunsri01,http://www.basketball-reference.com/players/b/brunsri01.html,Rick Brunson,1998,2006,G,6-4,190,"June 14, 1972",Temple University
510,bryanko01,http://www.basketball-reference.com/players/b/bryanko01.html,Kobe Bryant,1997,2016,G-F,6-6,212,"August 23, 1978",
518,buckngr01,http://www.basketball-reference.com/players/b/buckngr01.html,Greg Buckner,2000,2009,G,6-4,210,"September 16, 1976",Clemson University
521,budinch01,http://www.basketball-reference.com/players/b/budinch01.html,Chase Budinger,2010,2016,F,6-7,209,"May 22, 1988",University of Arizona
526,bullore01,http://www.basketball-reference.com/players/b/bullore01.html,Reggie Bullock,2014,2017,G-F,6-7,205,"March 16, 1991",University of North Carolina
533,burkepa01,http://www.basketball-reference.com/players/b/burkepa01.html,Pat Burke,2003,2007,C-F,6-11,250,"December 14, 1973",Auburn University
534,burketr01,http://www.basketball-reference.com/players/b/burketr01.html,Trey Burke,2014,2017,G,6-1,191,"November 12, 1992",University of Michigan
536,burksal01,http://www.basketball-reference.com/players/b/burksal01.html,Alec Burks,2012,2017,G,6-6,214,"July 20, 1991",University of Colorado
537,burksan01,http://www.basketball-reference.com/players/b/burksan01.html,Antonio Burks,2005,2006,G,6-1,200,"February 25, 1980",University of Memphis
538,burleke01,http://www.basketball-reference.com/players/b/burleke01.html,Kevin Burleson,2006,2006,G,6-3,205,"April 9, 1979",University of Minnesota
555,butleca01,http://www.basketball-reference.com/players/b/butleca01.html,Caron Butler,2003,2016,F,6-7,228,"March 13, 1980",University of Connecticut
557,butleja01,http://www.basketball-reference.com/players/b/butleja01.html,Jackie Butler,2005,2007,F-C,6-10,250,"March 10, 1985",
558,butleji01,http://www.basketball-reference.com/players/b/butleji01.html,Jimmy Butler,2012,2017,G-F,6-7,220,"September 14, 1989",Marquette University
561,butlera01,http://www.basketball-reference.com/players/b/butlera01.html,Rasual Butler,2003,2016,F-G,6-7,215,"May 23, 1979",La Salle University
562,buyckdw01,http://www.basketball-reference.com/players/b/buyckdw01.html,Dwight Buycks,2014,2015,G,6-3,190,"March 6, 1989",Marquette University
563,byarsde01,http://www.basketball-reference.com/players/b/byarsde01.html,Derrick Byars,2012,2012,F,6-7,220,"April 25, 1984",Vanderbilt University
564,bynuman01,http://www.basketball-reference.com/players/b/bynuman01.html,Andrew Bynum,2006,2014,C,7-0,285,"October 27, 1987",
565,bynumwi01,http://www.basketball-reference.com/players/b/bynumwi01.html,Will Bynum,2006,2015,G,6-0,185,"January 4, 1983",Georgia Institute of Technology
570,cabarza01,http://www.basketball-reference.com/players/c/cabarza01.html,Zarko Cabarkapa,2004,2006,F,6-11,235,"May 21, 1981",
572,cabocbr01,http://www.basketball-reference.com/players/c/cabocbr01.html,Bruno Caboclo,2015,2017,F,6-9,218,"September 21, 1995",
576,calatni01,http://www.basketball-reference.com/players/c/calatni01.html,Nick Calathes,2014,2015,G,6-6,213,"February 7, 1989",University of Florida
577,caldejo01,http://www.basketball-reference.com/players/c/caldejo01.html,Jose Calderon,2006,2017,G,6-3,200,"September 28, 1981",
581,caldwke01,http://www.basketball-reference.com/players/c/caldwke01.html,Kentavious Caldwell-Pope,2014,2017,G,6-5,205,"February 18, 1993",University of Georgia
590,cambyma01,http://www.basketball-reference.com/players/c/cambyma01.html,Marcus Camby,1997,2013,C-F,6-11,220,"March 22, 1974",University of Massachusetts Amherst
593,canaais01,http://www.basketball-reference.com/players/c/canaais01.html,Isaiah Canaan,2014,2017,G,6-0,201,"May 21, 1991",Murray State University
595,capelca01,http://www.basketball-reference.com/players/c/capelca01.html,Clint Capela,2015,2017,F-C,6-10,240,"May 18, 1994",
596,caracde01,http://www.basketball-reference.com/players/c/caracde01.html,Derrick Caracter,2011,2011,F,6-9,275,"May 4, 1988",University of Texas at El Paso
598,cardibr01,http://www.basketball-reference.com/players/c/cardibr01.html,Brian Cardinal,2001,2012,F,6-8,245,"May 2, 1977",Purdue University
607,carnero01,http://www.basketball-reference.com/players/c/carnero01.html,Rodney Carney,2007,2011,F,6-7,205,"April 15, 1984",University of Memphis
617,carrode01,http://www.basketball-reference.com/players/c/carrode01.html,DeMarre Carroll,2010,2017,F,6-8,215,"July 27, 1986",University of Missouri
619,carroma01,http://www.basketball-reference.com/players/c/carroma01.html,Matt Carroll,2004,2013,G,6-6,212,"August 28, 1980",University of Notre Dame
621,cartean01,http://www.basketball-reference.com/players/c/cartean01.html,Anthony Carter,2000,2012,G,6-1,190,"June 16, 1975",University of Hawaii
630,cartevi01,http://www.basketball-reference.com/players/c/cartevi01.html,Vince Carter,1999,2017,G-F,6-6,220,"January 26, 1977",University of North Carolina
631,cartemi01,http://www.basketball-reference.com/players/c/cartemi01.html,Michael Carter-Williams,2014,2017,G,6-6,190,"October 10, 1991",Syracuse University
636,cassesa01,http://www.basketball-reference.com/players/c/cassesa01.html,Sam Cassell,1994,2008,G,6-3,185,"November 18, 1969",Florida State University
637,casspom01,http://www.basketball-reference.com/players/c/casspom01.html,Omri Casspi,2010,2017,F,6-9,225,"June 22, 1988",
641,catoke01,http://www.basketball-reference.com/players/c/catoke01.html,Kelvin Cato,1998,2007,C,6-11,255,"August 26, 1974",Iowa State University
650,chalmma01,http://www.basketball-reference.com/players/c/chalmma01.html,Mario Chalmers,2009,2016,G,6-2,190,"May 19, 1986",University of Kansas
656,chandty01,http://www.basketball-reference.com/players/c/chandty01.html,Tyson Chandler,2002,2017,C,7-1,240,"October 2, 1982",
657,chandwi01,http://www.basketball-reference.com/players/c/chandwi01.html,Wilson Chandler,2008,2017,F,6-8,225,"May 10, 1987",DePaul University
665,cheanca01,http://www.basketball-reference.com/players/c/cheanca01.html,Calbert Cheaney,1994,2006,G-F,6-7,209,"July 17, 1971",Indiana University
668,cherrwi01,http://www.basketball-reference.com/players/c/cherrwi01.html,Will Cherry,2015,2015,G,6-0,185,"February 8, 1991",University of Montana
671,childjo01,http://www.basketball-reference.com/players/c/childjo01.html,Josh Childress,2005,2014,G-F,6-8,210,"June 20, 1983",Stanford University
680,chrisdo01,http://www.basketball-reference.com/players/c/chrisdo01.html,Doug Christie,1993,2007,G-F,6-6,200,"May 9, 1970",Pepperdine University
681,chrisdi01,http://www.basketball-reference.com/players/c/chrisdi01.html,Dionte Christmas,2014,2014,G,6-5,205,"September 15, 1986",Temple University
684,chrispa01,http://www.basketball-reference.com/players/c/chrispa01.html,Patrick Christopher,2015,2015,G-F,6-5,209,"June 3, 1988",University of California
689,clarkea01,http://www.basketball-reference.com/players/c/clarkea01.html,Earl Clark,2010,2015,F,6-10,225,"January 17, 1988",University of Louisville
690,clarkia01,http://www.basketball-reference.com/players/c/clarkia01.html,Ian Clark,2014,2017,G,6-3,175,"March 7, 1991",Belmont University
694,clarkjo01,http://www.basketball-reference.com/players/c/clarkjo01.html,Jordan Clarkson,2015,2017,G,6-5,194,"June 7, 1992",University of Missouri
695,clavevi01,http://www.basketball-reference.com/players/c/clavevi01.html,Victor Claver,2013,2015,F,6-9,224,"August 30, 1988",
698,claxtsp01,http://www.basketball-reference.com/players/c/claxtsp01.html,Speedy Claxton,2002,2009,G,5-11,166,"May 8, 1978",Hofstra University
700,cleavma01,http://www.basketball-reference.com/players/c/cleavma01.html,Mateen Cleaves,2001,2006,G,6-2,205,"September 7, 1977",Michigan State University
711,coleno01,http://www.basketball-reference.com/players/c/coleno01.html,Norris Cole,2012,2016,G,6-2,175,"October 13, 1988",Cleveland State University
723,collija03,http://www.basketball-reference.com/players/c/collija03.html,Jarron Collins,2002,2011,F-C,6-11,255,"December 2, 1978",Stanford University
724,collija04,http://www.basketball-reference.com/players/c/collija04.html,Jason Collins,2002,2014,C,7-0,255,"December 2, 1978",Stanford University
726,collima01,http://www.basketball-reference.com/players/c/collima01.html,Mardy Collins,2007,2010,G,6-6,220,"August 4, 1984",Temple University
